Rule category,Antecedent (English),Consequent (English),support,confidence,lift,leverage,conviction,antecedent_count,rule_count,Antecedent (original),Consequent (original)
All mined rules,Activity: Coal mining; Body: Foot; Shift: Middle shift; Team: Coal mining team,Job: Support worker,0.0128205128205128,0.6,35.099999999999994,0.0124552560449996,2.457264957264957,5,3,Act:采煤;Body:脚;Shift:中班;Team:采煤队,Job:支架工
All mined rules,Body: Foot; Shift: Middle shift; Team: Coal mining team,Job: Support worker,0.0128205128205128,0.5,29.25,0.0123822046898969,1.9658119658119655,6,3,Body:脚;Shift:中班;Team:采煤队,Job:支架工
All mined rules,Activity: Coal mining; Body: Foot; Shift: Middle shift,Job: Support worker,0.0128205128205128,0.5,29.25,0.0123822046898969,1.9658119658119655,6,3,Act:采煤;Body:脚;Shift:中班,Job:支架工
All mined rules,Location: Auxiliary shaft; Team: Ventilation team,Job: Battery-locomotive driver,0.0128205128205128,0.5,29.25,0.0123822046898969,1.9658119658119655,6,3,Loc:副井;Team:通风队,Job:电瓶车司机
All mined rules,Activity: Development driving; Body: Foot; HazardMode: Struck by object,Location: Development face,0.0128205128205128,1.0,26.0,0.01232741617357,,3,3,Act:开拓;Body:脚;HazardMode:砸,Loc:开拓迎头
All mined rules,Activity: Development driving; Body: Foot; HazardMode: Struck by object; Job: Development worker,Location: Development face,0.0128205128205128,1.0,26.0,0.01232741617357,,3,3,Act:开拓;Body:脚;HazardMode:砸;Job:开拓工,Loc:开拓迎头
All mined rules,Activity: Development driving; Body: Foot; HazardMode: Struck by object; Team: Development team,Location: Development face,0.0128205128205128,1.0,26.0,0.01232741617357,,3,3,Act:开拓;Body:脚;HazardMode:砸;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; Body: Foot; HazardMode: Struck by object; Job: Development worker; Team: Development team,Location: Development face,0.0128205128205128,1.0,26.0,0.01232741617357,,3,3,Act:开拓;Body:脚;HazardMode:砸;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; Body: Foot,Location: Development face,0.017094017094017,0.8,20.8,0.0162721893491124,4.807692307692309,5,4,Act:开拓;Body:脚,Loc:开拓迎头
All mined rules,Activity: Development driving; Body: Foot; Job: Development worker,Location: Development face,0.017094017094017,0.8,20.8,0.0162721893491124,4.807692307692309,5,4,Act:开拓;Body:脚;Job:开拓工,Loc:开拓迎头
