Rank,source,target,source_type,target_type,weight,edge_severity_rate,average_severity_score,confidence_to_severe,lift_to_severe,Source (English),Target (English),edge_risk_score
1,InjuryForm:骨折,Sev:轻伤,InjuryForm,Sev,56.0,1.0,2.0,1.0,1.8571428571428568,InjuryForm: Fracture,Severity: Mild,56.0
2,Team:掘进队,Job:掘进工,Team,Job,51.0,0.6470588235294118,1.7647058823529411,0.6470588235294118,1.2016806722689075,Team: Tunneling team,Job: Tunneling worker,33.0
3,Team:采煤队,Job:采煤工,Team,Job,42.0,0.6428571428571429,1.738095238095238,0.6428571428571429,1.1938775510204085,Team: Coal mining team,Job: Coal miner,27.000000000000004
4,Loc:采煤工作面,Act:采煤,Loc,Act,30.0,0.8666666666666667,1.933333333333333,0.8666666666666667,1.6095238095238096,Location: Coalface,Activity: Coal mining,26.0
5,Body:脚,InjuryForm:骨折,Body,InjuryForm,18.0,1.0,2.0,1.0,1.8571428571428568,Body: Foot,InjuryForm: Fracture,18.0
6,Body:腿,InjuryForm:骨折,Body,InjuryForm,18.0,1.0,2.1666666666666665,1.0,1.8571428571428568,Body: Leg,InjuryForm: Fracture,18.0
7,Shift:中班,Loc:采煤工作面,Shift,Loc,19.0,0.8947368421052632,2.0526315789473686,0.8947368421052632,1.661654135338346,Shift: Middle shift,Location: Coalface,17.0
8,Job:掘进工,Shift:早班,Job,Shift,33.0,0.5151515151515151,1.5757575757575757,0.5151515151515151,0.9567099567099568,Job: Tunneling worker,Shift: Day shift,17.0
9,Loc:掘进头,Act:掘进,Loc,Act,21.0,0.6666666666666666,1.9047619047619049,0.6666666666666666,1.238095238095238,Location: Heading face,Activity: Tunneling,14.0
10,Body:腿,Sev:轻伤,Body,Sev,14.0,1.0,2.0,1.0,1.8571428571428568,Body: Leg,Severity: Mild,14.0
11,InjuryForm:骨折,Sev:重伤,InjuryForm,Sev,13.0,1.0,3.0,1.0,1.8571428571428568,InjuryForm: Fracture,Severity: Severe,13.0
