Rank,node_id,node_label,node_type,frequency,degree,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,betweenness,closeness,severity_rate,average_severity_score,frequency_norm,severity_rate_norm,pagerank_norm,betweenness_norm,average_severity_score_norm,risk_score,Node label (English)
1,Sev:轻伤,Sev:轻伤,Sev,108,12,12,0,108.0,0.0,0.0756957677609334,0.0,0.2912765957446809,1.0,2.0,0.9224137931034484,1.0,0.9729147021627584,0.0,0.5,0.7501863887084138,Severity: Mild
2,Shift:早班,Shift:早班,Shift,117,28,11,17,117.0,117.0,0.0318145406466351,0.0655905425168404,0.1724137931034483,0.4786324786324786,1.5213675213675213,1.0,0.4786324786324786,0.380135166141021,1.0,0.2606837606837606,0.6347877169888879,Shift: Day shift
3,InjuryForm:骨折,InjuryForm:骨折,InjuryForm,71,13,10,3,71.0,71.0,0.050312781934342,0.0079013612145477,0.268640350877193,0.971830985915493,2.1549295774647885,0.603448275862069,0.971830985915493,0.6300228654795861,0.1204649467950212,0.5774647887323943,0.6245138488694201,InjuryForm: Fracture
4,Shift:中班,Shift:中班,Shift,69,25,12,13,69.0,69.0,0.025710169243545,0.0589884941679397,0.18375,0.6231884057971014,1.7246376811594204,0.5862068965517241,0.6231884057971014,0.2976728767751649,0.8993445076749348,0.3623188405797102,0.5511329031804361,Shift: Middle shift
5,Sev:重伤,Sev:重伤,Sev,18,3,3,0,18.0,0.0,0.0202876587503536,0.0,0.2259075907590759,1.0,3.0,0.146551724137931,1.0,0.22442166058072,0.0,1.0,0.4815222631506267,Severity: Severe
6,Shift:夜班,Shift:夜班,Shift,48,28,11,17,48.0,48.0,0.0148646862061214,0.064819697492435,0.1724137931034483,0.5625,1.6875,0.4051724137931034,0.5625,0.1511642026647092,0.9882476193239682,0.34375,0.4719505868798129,Shift: Night shift
7,Body:腿,Body:腿,Body,46,18,14,4,46.0,46.0,0.0297172033195281,0.0175937481719033,0.2753955696202532,0.717391304347826,1.8043478260869563,0.3879310344827586,0.717391304347826,0.3518028078775377,0.2682360519793859,0.4021739130434781,0.4472526410365832,Body: Leg
8,Body:多处骨头,Body:多处骨头,Body,9,7,5,2,9.0,9.0,0.008801454060904,0.0062380204578228,0.1712037037037037,1.0,3.0,0.0689655172413793,1.0,0.0692576523197922,0.0951054865298797,1.0,0.4453587327537852,Body: Multiple bones
9,Sev:轻微伤,Sev:轻微伤,Sev,108,13,13,0,108.0,0.0,0.0777007899211634,0.0,0.2979343220338983,0.0,1.0,0.9224137931034484,0.0,1.0,0.0,0.0,0.430603448275862,Severity: Minor injury
10,InjuryForm:内脏破裂,InjuryForm:内脏破裂,InjuryForm,4,4,3,1,4.0,4.0,0.0090456910555843,0.0013193937053721,0.2027027027027027,1.0,3.0,0.0258620689655172,1.0,0.0725569833072504,0.0201156089695912,1.0,0.423994255248268,InjuryForm: Internal organ rupture
11,Body:内脏,Body:内脏,Body,2,3,2,1,2.0,2.0,0.004500925209313,0.0023212004335595,0.141015625,1.0,3.0,0.0086206896551724,1.0,0.0111629802940055,0.0353892549823569,1.0,0.4096961567199477,Body: Internal organs
12,Loc:采煤工作面,Loc:采煤工作面,Loc,38,7,3,4,38.0,38.0,0.0143715066085953,0.0086296723865349,0.1333333333333333,0.8421052631578947,1.921052631578948,0.3189655172413793,0.8421052631578947,0.1445019739117309,0.1315688520844182,0.4605263157894738,0.4079823650632485,Location: Coalface
13,Act:掘进,Act:掘进,Act,33,18,8,10,33.0,33.0,0.0162467038272439,0.0259989608577845,0.1488372093023255,0.696969696969697,1.878787878787879,0.2758620689655172,0.696969696969697,0.1698335020005969,0.3963827689199134,0.4393939393939394,0.4025411481310008,Activity: Tunneling
14,Act:采煤,Act:采煤,Act,38,16,3,13,38.0,38.0,0.0157778617980832,0.0106435020827697,0.1125,0.7631578947368421,1.8421052631578947,0.3189655172413793,0.7631578947368421,0.1635000428247741,0.1622719019291078,0.4210526315789473,0.3907295415857184,Activity: Coal mining
15,Body:脚,Body:脚,Body,57,13,10,3,57.0,57.0,0.0373197171209541,0.0055051548492976,0.2637121212121212,0.4561403508771929,1.456140350877193,0.4827586206896552,0.4561403508771929,0.4545030945415754,0.0839321438435144,0.2280701754385965,0.3724257096923437,Body: Foot
16,Act:运输,Act:运输,Act,15,13,7,6,15.0,15.0,0.0099038481525641,0.0084065099264263,0.1413235294117647,0.9333333333333332,1.933333333333333,0.1206896551724138,0.9333333333333332,0.0841495936154461,0.1281664948001919,0.4666666666666665,0.3695606400695547,Activity: Transportation
17,Job:掘进工,Job:掘进工,Job,59,8,5,3,59.0,59.0,0.0078656369526022,0.0113114408180637,0.0625,0.6101694915254238,1.7118644067796611,0.5,0.6101694915254238,0.0566159540870736,0.1724553629840694,0.3559322033898305,0.3681236986548556,Job: Tunneling worker
18,Loc:猴车巷,Loc:猴车巷,Loc,3,5,2,3,3.0,3.0,0.0043999896511379,0.0034120125349815,0.1247641509433962,1.0,2.333333333333333,0.0172413793103448,1.0,0.009799469351449,0.0520198858563411,0.6666666666666665,0.3640732215763271,Location: Chairlift roadway
19,Act:安装回收,Act:安装回收,Act,35,22,12,10,35.0,35.0,0.0194904588031362,0.0370438926998871,0.18,0.4857142857142857,1.542857142857143,0.293103448275862,0.4857142857142857,0.2136525037930765,0.5647749092847661,0.2714285714285714,0.3628654563631528,Activity: Installation and recovery
20,InjuryForm:离断,InjuryForm:离断,InjuryForm,5,4,2,2,5.0,5.0,0.006431879845568,0.002660747818765,0.2123858447488584,1.0,2.2,0.0344827586206896,1.0,0.0372477201390604,0.0405660285258639,0.6000000000000001,0.3621551379618641,InjuryForm: Amputation
21,Job:副区长,Job:副区长,Job,3,4,2,2,3.0,3.0,0.004110005029011,0.0024042556953653,0.025,1.0,2.333333333333333,0.0172413793103448,1.0,0.0058821461346197,0.0366555238470253,0.6666666666666665,0.3609851026315639,Job: Deputy section chief
22,Body:手,Body:手,Body,60,15,11,4,60.0,60.0,0.0389656636481368,0.0100311578758973,0.2653201219512195,0.35,1.35,0.5086206896551724,0.35,0.4767377375281659,0.1529360406391192,0.175,0.3591931260152942,Body: Hand
23,Team:掘进队,Team:掘进队,Team,61,7,0,7,0.0,61.0,0.0036745719973902,0.0,0.0,0.6721311475409836,1.786885245901639,0.5172413793103449,0.6721311475409836,0.0,0.0,0.3934426229508195,0.356359525155455,Team: Tunneling team
24,Team:采煤队,Team:采煤队,Team,60,7,0,7,0.0,60.0,0.0036745719973902,0.0,0.0,0.6666666666666666,1.75,0.5086206896551724,0.6666666666666666,0.0,0.0,0.375,0.3500718390804598,Team: Coal mining team
25,Act:检修,Act:检修,Act,16,18,9,9,16.0,16.0,0.0116683174049204,0.0233208233292922,0.1564655172413793,0.6875,1.875,0.1293103448275862,0.6875,0.107985327789697,0.3555516151326938,0.4375,0.34475739403474,Activity: Maintenance
26,Loc:轨道上山,Loc:轨道上山,Loc,7,9,3,6,7.0,7.0,0.0055276719559811,0.010947465494757,0.1333333333333333,0.8571428571428571,2.142857142857143,0.0517241379310344,0.8571428571428571,0.0250330222259782,0.1669061586424026,0.5714285714285714,0.3429735627243146,Location: Track uphill roadway
27,Body:脊椎,Body:脊椎,Body,4,5,3,2,4.0,4.0,0.005758967858424,0.0010775564123578,0.2057753164556962,1.0,2.0,0.0258620689655172,1.0,0.0281575355258618,0.0164285333069355,0.5,0.339561304342592,Body: Spine
28,Job:采煤工,Job:采煤工,Job,46,7,4,3,46.0,46.0,0.0072861111599177,0.0083226588245596,0.05,0.6304347826086957,1.7173913043478262,0.3879310344827586,0.6304347826086957,0.0487872981197877,0.1268880924780099,0.3586956521739131,0.3371864755946095,Job: Coal miner
29,Loc:掘进头,Loc:掘进头,Loc,30,10,3,7,30.0,30.0,0.0112710624476337,0.0122819926939077,0.1333333333333333,0.6333333333333333,1.8333333333333333,0.25,0.6333333333333333,0.1026189188547474,0.1872524943783517,0.4166666666666666,0.3319449912610355,Location: Heading face
30,Loc:轨道顺槽,Loc:轨道顺槽,Loc,43,15,3,12,43.0,43.0,0.0148531013649525,0.0209897903868419,0.1333333333333333,0.4651162790697674,1.5116279069767442,0.3620689655172414,0.4651162790697674,0.1510077062031336,0.3200124527320812,0.2558139534883721,0.3233718133204469,Location: Track gate road
31,HazardMode:碰,HazardMode:碰,HazardMode,39,21,12,9,39.0,39.0,0.0261974428898764,0.0217446318807699,0.243,0.3333333333333333,1.3333333333333333,0.3275862068965517,0.3333333333333333,0.304255323643289,0.3315208419748476,0.1666666666666666,0.3008090760823562,HazardMode: Collision
32,Body:手臂,Body:手臂,Body,6,9,6,3,6.0,6.0,0.0077867839286408,0.0025800621574909,0.250297619047619,0.8333333333333334,1.8333333333333333,0.043103448275862,0.8333333333333334,0.0555507500799936,0.0393358868289356,0.4166666666666666,0.2986197284426379,Body: Arm
33,HazardMode:砸,HazardMode:砸,HazardMode,46,15,8,7,46.0,46.0,0.0273776897659385,0.0094627333475866,0.2140410958904109,0.3260869565217391,1.326086956521739,0.3879310344827586,0.3260869565217391,0.3201989569824588,0.1442697831803587,0.1630434782608695,0.2886412783638004,HazardMode: Struck by object
34,Act:猴车事故,Act:猴车事故,Act,4,8,4,4,4.0,4.0,0.0062162443311826,0.0032474013027888,0.1195121951219512,0.75,2.0,0.0258620689655172,0.75,0.0343347587527664,0.049510206474585,0.5,0.2832589999631203,Activity: Chairlift-related incident
35,Job:班长,Job:班长,Job,7,6,3,3,7.0,7.0,0.0046080905315091,0.0059492411030407,0.0375,0.7142857142857143,2.0,0.0517241379310344,0.7142857142857143,0.0126106474206236,0.0907027274780236,0.5,0.2826300016600155,Job: Work team leader
36,Act:行走,Act:行走,Act,20,17,10,7,20.0,20.0,0.013577803242694,0.0195501559236635,0.1642045454545454,0.5,1.55,0.1637931034482758,0.5,0.1337800514879939,0.2980636410903902,0.275,0.2786638323232263,Activity: Walking
37,Loc:运输顺槽,Loc:运输顺槽,Loc,30,14,3,11,30.0,30.0,0.0116561550383399,0.0194103125228422,0.1333333333333333,0.4333333333333333,1.5333333333333334,0.25,0.4333333333333333,0.107821029694757,0.295931574553734,0.2666666666666667,0.2767872754553448,Location: Transport gate road
38,HazardMode:摔,HazardMode:摔,HazardMode,24,17,8,9,24.0,24.0,0.0177614638365773,0.0112552360247066,0.2084201388888889,0.5,1.5,0.1982758620689655,0.5,0.1902959820761452,0.1715984590585891,0.25,0.2758679307912587,HazardMode: Fall/slip
39,Job:机电工,Job:机电工,Job,26,10,7,3,26.0,26.0,0.0099619197524241,0.0167948734259528,0.0875,0.5,1.5,0.2155172413793103,0.5,0.0849340670289028,0.2560563273529991,0.25,0.271774572853558,Job: Mechanical and electrical worker
